  -22.7323   74.1356   35.6314
   39.7621   71.2732   35.1705
  -39.0916   42.2448   70.7985
   54.1095   32.9829   70.3534
  -53.6469   -7.2846   87.1209
   65.4444  -19.8021   88.8400
  -49.4472  -65.7233   88.0312
   46.3302  -75.4535   87.2938
  -32.8223 -106.3190   51.0625
   23.4340 -109.3597   51.4940
  -59.4192   34.4616   27.3422
   71.2054   22.6686   28.0578
  -73.8386  -18.7467   29.3290
   80.4572  -33.2836   32.3172
  -65.4383  -65.3899   38.3631
   62.2708  -78.9255   43.3661
    9.5066   42.9745   87.7263
    7.3326   -9.7092  117.3241
   -0.0854  -69.7276  105.4002
   -4.1095 -110.9489   52.8752
  -21.2950   15.2608   99.0712
   37.2089   12.2892   96.0190
  -27.8475  -38.6306  112.9438
   34.5072  -41.9977  112.9753
  -63.0024   15.0067   54.9429
   74.2855    1.7594   55.5433
  -70.7118  -40.2867   65.3909
   70.6476  -53.3937   66.4796
  -70.5225  -50.5397    5.2097
   69.4497  -65.4820    8.2985
  -17.1220   42.1281   85.3342
   34.8185   36.0904   84.6362
  -25.9990   -9.3445  108.6249
   35.9035  -13.9573  108.3966
  -27.8378  -65.2766  104.9166
   27.5873  -69.2005  102.1861
  -22.8019   66.5403   57.2829
   44.5970   58.4518   58.5026
  -46.5435   17.4254   81.6914
   59.4746    7.3975   80.3781
  -56.2955  -36.4425   93.0351
   60.2957  -47.2012   91.1976
  -35.4788  -88.9312   77.3053
   28.0960  -94.3773   75.9394
  -54.5154   43.2951   51.7960
   66.5261   30.8730   48.4745
  -69.0178  -10.9345   61.3655
   78.2136  -24.3018   60.0393
  -61.5950  -67.4188   65.5027
   56.7979  -78.9240   66.6001
  -48.7308   60.6548   31.4949
   61.4762   50.2409   31.6659
  -68.3958    9.4758   30.2934
   77.1115   -5.9414   28.9739
  -73.6681  -40.6737   32.9029
   71.2385  -55.7122   37.6107
  -53.3367  -86.8754   45.8076
   44.5176  -98.2970   47.3319
    9.9722   79.0485   37.0696
   11.3638   65.6914   66.0150
    0.4210  -42.3515  118.4012
   -5.0264  -92.5804   81.4248
  -62.7935   24.0026   -0.3494
  -67.4831    1.5888   -2.1755
  -64.8120  -68.6821   12.6973
  -49.1462  -90.5242   17.5825
   -5.4771 -113.2755   19.4852
   43.6033 -100.4454   14.9724
   59.2118  -83.4439   12.1838
   75.2337  -12.0861   -2.7230
   71.9800   12.0797   -2.7628
   10.0564   17.5299  102.9307
