-62.0 56.0 25.0 F14
-59.0 53.0 38.0 F15
-51.0 51.0 50.0 F16
-45.0 45.0 61.0 F17
-42.0 31.0 70.0 F18
-35.0 20.0 78.0 F19
-26.0 9.0 83.0 F20
-40.0 4.0 78.0 F21
-50.0 16.0 70.0 F22
-55.0 31.0 61.0 F23
-62.0 36.0 50.0 F24
-68.0 39.0 38.0 F25
-73.0 42.0 25.0 F26
-72.0 48.0 11.0 F27
-73.0 49.0 -3.0 F28
-71.0 48.0 -17.0 F29
-79.0 33.0 -17.0 F30
-81.0 33.0 -3.0 F31
-80.0 33.0 11.0 F32
-13.0 -4.0 86.0 G1
-26.0 -9.0 83.0 G2
-39.0 -13.0 78.0 G3
-52.0 0.0 70.0 G4
-61.0 16.0 61.0 G5
-69.0 19.0 50.0 G6
-75.0 24.0 38.0 G7
-80.0 26.0 25.0 G8
-85.0 17.0 11.0 G9
-86.0 17.0 -3.0 G10
-87.0 0.0 -3.0 G11(T7)
-87.0 0.0 11.0 G12
-84.0 9.0 25.0 G13
-79.0 8.0 38.0 G14
-72.0 0.0 50.0 G15
-63.0 0.0 61.0 G16(C3)
-69.0 -19.0 50.0 G17
-79.0 -8.0 38.0 G18
-84.0 -9.0 25.0 G19
-85.0 -17.0 11.0 G20
-86.0 -17.0 -3.0 G21
-79.0 -33.0 -17.0 G22
-81.0 -33.0 -3.0 G23
-80.0 -33.0 11.0 G24
-80.0 -26.0 25.0 G25
-75.0 -24.0 38.0 G26
-68.0 -39.0 38.0 G27
-73.0 -42.0 25.0 G28
-72.0 -48.0 11.0 G29
-73.0 -49.0 -3.0 G30
-71.0 -48.0 -17.0 G31
-71.0 -41.0 -31.0 G32
-16.0 -22.0 83.0 H1
-30.0 -27.0 78.0 H2
-42.0 -31.0 70.0 H3
-50.0 -16.0 70.0 H4
-61.0 -16.0 61.0 H5
-55.0 -31.0 61.0 H6
-62.0 -36.0 50.0 H7
-59.0 -53.0 38.0 H8
-62.0 -56.0 25.0 H9
-61.0 -61.0 11.0 H10
-62.0 -62.0 -3.0 H11
-61.0 -61.0 -17.0 H12
-61.0 -55.0 -31.0 H13
-48.0 -66.0 -31.0 H14
-48.0 -71.0 -17.0 H15
-49.0 -73.0 -3.0 H16
-48.0 -72.0 11.0 H17
-49.0 -68.0 25.0 H18
-46.0 -64.0 38.0 H19
-51.0 -51.0 50.0 H20
-45.0 -45.0 61.0 H21
-31.0 -42.0 70.0 H22
-16.0 -37.0 78.0 H23
-31.0 -55.0 61.0 H24
-36.0 -62.0 50.0 H25
-32.0 -72.0 38.0 H26
-34.0 -77.0 25.0 H27
-33.0 -80.0 11.0 H28
-33.0 -81.0 -3.0 H29
-33.0 -79.0 -17.0 H30
-33.0 -75.0 -31.0 H31
-31.0 -70.0 -43.0 H32
