-80.382 -62.142 25.292 E1
-74.862 -73.94 1.617 E2
-65.803 -83.219 -20.677 E3
-55.544 -89.745 -42.142 E4
-41.79 -86.335 -63.609 E5
-26.009 -74.602 -80.393 E6
-13.725 -60.239 -93.908 E7
-0.0 -41.518 -101.036 E8
13.316 -17.476 -106.207 E9
-68.583 -85.244 17.493 E10
-58.607 -96.666 -4.687 E11
-44.79 -104.326 -29.044 E12
-30.105 -103.663 -50.697 E13
-14.241 -93.7 -69.984 E14
-0.0 -78.645 -84.072 E15
13.725 -60.239 -93.908 E16
26.504 -33.64 -98.807 E17
-46.931 -108.592 10.287 E18
-33.111 -115.623 -9.838 E19
-16.412 -116.184 -32.882 E20
-0.0 -108.566 -53.782 E21
14.241 -93.7 -69.984 E22
26.009 -74.602 -80.393 E23
38.616 -50.903 -88.583 E24
-16.111 -122.991 7.059 E25
-0.0 -123.42 -11.608 E26
16.412 -116.184 -32.882 E27
30.105 -103.663 -50.697 E28
41.79 -86.335 -63.609 E29
51.935 -64.585 -72.598 E30
-0.0 -121.964 23.681 E31
16.111 -122.991 7.059 E32
33.111 -115.623 -9.838 E33
44.79 -104.326 -29.044 E34
55.544 -89.745 -42.142 E35
58.936 -74.074 -55.166 E36
46.931 -108.592 10.287 E37
58.607 -96.666 -4.687 E38
65.803 -83.219 -20.677 E39
71.234 -70.576 -38.055 E40
69.44 -57.024 -56.084 E41
61.646 -43.898 -73.044 E42
53.586 -29.698 -86.691 E43
40.842 -12.369 -97.838 E44
23.028 7.042 -107.242 E45
68.583 -85.244 17.493 E46
74.862 -73.94 1.617 E47
80.535 -61.783 -15.095 E48
81.98 -48.877 -33.698 E49
79.267 -36.511 -55.049 E50
70.587 -22.423 -72.026 E51
61.351 -6.937 -86.454 E52
42.992 13.228 -99.14 E53
80.382 -62.142 25.292 E54
84.468 -50.472 7.058 E55
88.483 -38.056 -12.055 E56
88.025 -26.578 -32.535 E57
85.04 -15.513 -53.153 E58
77.388 -0.693 -72.043 E59
62.388 18.617 -86.284 E60
87.064 -35.251 29.087 E61
89.715 -23.821 9.321 E62
92.008 -13.94 -11.237 E63
93.128 -4.631 -32.162 E64
87.834 6.562 -53.102 E65
78.688 22.458 -68.471 E66
88.821 -20.094 48.278 E67
89.416 -12.156 28.524 E68
91.643 -0.834 11.198 E69
92.236 8.684 -9.721 E70
93.05 17.352 -31.952 E71
87.335 26.686 -49.683 E72
86.896 -8.439 68.814 E73
89.68 21.259 10.705 E74
89.971 31.539 -12.704 E75
86.151 40.329 -34.167 E76
79.31 43.809 -56.504 E77
65.264 44.404 -75.289 E78
47.621 40.963 -91.833 E79
25.821 34.152 -103.039 E80
-0.0 22.379 -109.205 E81
82.297 5.679 84.851 E82
85.196 40.375 25.209 E83
86.843 42.723 5.938 E84
82.575 54.394 -17.522 E85
74.909 59.555 -40.097 E86
63.852 63.059 -63.522 E87
46.622 60.476 -81.332 E88
26.498 56.322 -95.507 E89
-0.0 43.202 -104.231 E90
78.808 21.524 100.376 E91
77.822 32.886 77.899 E92
78.322 46.388 57.93 E93
81.204 51.388 40.974 E94
80.709 57.923 21.799 E95
77.074 66.226 -1.182 E96
68.909 75.376 -23.471 E97
58.977 77.924 -45.274 E98
43.32 77.093 -65.084 E99
24.808 72.643 -82.14 E100
-0.0 82.555 -80.291 E101
73.543 44.158 94.744 E102
72.084 53.369 75.002 E103
70.396 64.78 54.02 E104
72.903 69.423 37.629 E105
69.09 77.901 16.2 E106
60.465 87.445 -5.383 E107
49.541 93.671 -27.529 E108
37.439 94.129 -48.725 E109
19.995 88.19 -65.735 E110
65.068 67.006 89.461 E111
62.197 74.489 71.2 E112
58.684 84.587 49.889 E113
60.877 86.196 33.191 E114
47.754 99.433 12.065 E115
36.175 105.483 -9.453 E116
22.456 106.612 -30.265 E117
12.621 100.92 -47.776 E118
-0.0 93.42 -61.663 E119
54.334 83.355 86.932 E120
48.539 90.188 67.468 E121
41.822 99.214 46.672 E122
34.95 109.146 22.622 E123
25.418 112.097 7.361 E124
11.74 112.182 -11.022 E125
-0.0 106.588 -29.403 E126
